name,formula,critical_temperature_k,category,year_discovered,crystal_system,num_elements,avg_atomic_mass,total_electrons,mass_variance,log_penetration_depth,log_coherence_length,log_critical_field,kappa_gl,lattice_a,unit_cell_volume,density,coordination_number
YBCO,YBa2Cu3O7,92.0,cuprate,1987,orthorhombic,4.0,76.44,132.0,43.81377123690679,2.1760912590556813,0.3010299956639812,2.0,75.0,3.82,173.562464,6.38,8.0
Bi-2212,Bi2Sr2CaCu2O8,85.0,cuprate,1988,tetragonal,5.0,83.25,178.0,67.2405544296,2.3010299956639813,0.17609125905568124,2.0791812460476247,133.33333333333334,5.41,904.0916090000001,6.84,8.0
Bi-2223,Bi2Sr2Ca2Cu3O10,110.0,cuprate,1988,tetragonal,5.0,83.25,178.0,67.2405544296,2.255272505103306,0.07918124604762482,2.1760912590556813,150.0,5.4,1081.8360000000002,6.85,8.0
Hg-1223,HgBa2Ca2Cu3O8,134.0,cuprate,1993,tetragonal,5.0,91.506,193.0,68.00870344301529,2.204119982655925,0.0,2.3010299956639813,160.0,3.85,234.93662500000002,7.56,8.0
LSCO,La1.85Sr0.15CuO4,40.0,cuprate,1986,tetragonal,4.0,76.5175,132.0,44.28703443164828,2.5440680443502757,-0.09691001300805639,1.8129133566428555,437.5,3.78,187.89246,6.99,8.0
LaFeAsO,LaFeAsO,26.0,iron_based,2008,tetragonal,4.0,71.4175,124.0,44.3835602306755,2.3010299956639813,0.3979400086720376,1.9030899869919435,80.0,4.03,141.94546600000004,6.25,8.0
SmFeAsO,SmFeAsO,55.0,iron_based,2008,tetragonal,4.0,74.2925,129.0,48.81313008556202,2.255272505103306,0.4471580313422192,2.0791812460476247,64.28571428571429,3.94,132.26107199999998,7.15,8.0
BaFe2As2,Ba0.6K0.4Fe2As2,38.0,iron_based,2008,tetragonal,4.0,76.7925,134.0,37.16172989447612,2.342422680822206,0.3424226808222063,1.9542425094393248,99.99999999999999,3.96,204.174432,5.85,8.0
FeSe,FeSe,8.5,iron_based,2008,tetragonal,2.0,67.41,60.0,11.559999999999999,2.6989700043360187,0.3222192947339193,1.6720978579357175,238.09523809523807,3.77,78.45520799999998,5.27,8.0
FeTeSe,FeTe0.5Se0.5,14.0,iron_based,2009,tetragonal,3.0,87.47333333333331,112.0,29.902571052596052,2.6532125137753435,0.25527250510330607,1.7403626894942439,250.0,3.8,90.25,6.12,8.0
MgB2,MgB2,39.0,conventional,2001,hexagonal,2.0,17.56,17.0,6.749999999999999,1.9294189257142929,0.7160033436347992,1.2041199826559248,16.346153846153847,3.09,33.609312,2.63,12.0
Nb3Sn,Nb3Sn,18.3,A15,1954,cubic,2.0,105.805,91.0,12.895000000000001,1.8129133566428555,0.568201724066995,1.3891660843645326,17.56756756756757,5.29,148.035889,8.85,8.0
Nb3Ge,Nb3Ge,23.2,A15,1973,cubic,2.0,82.77,73.0,10.14,1.7634279935629373,0.505149978319906,1.5797835966168101,18.125,5.14,135.79674399999996,8.65,8.0
V3Si,V3Si,17.1,A15,1971,cubic,2.0,39.515,37.0,11.424999999999999,1.845098040014257,0.6127838567197355,1.3617278360175928,17.073170731707318,4.72,105.15404799999999,5.45,8.0
Nb,Nb,9.25,elemental,1930,cubic,1.0,92.91,41.0,0.0,1.591064607026499,1.5797835966168101,-0.3979400086720376,1.0263157894736843,3.3,35.937,8.57,8.0
Pb,Pb,7.2,elemental,1911,cubic,1.0,207.2,82.0,0.0,1.568201724066995,1.919078092376074,-1.0969100130080565,0.4457831325301205,4.95,121.28737500000001,11.34,8.0
Sn,Sn,3.72,elemental,1913,tetragonal,1.0,118.7,50.0,0.0,1.5314789170422551,2.361727836017593,-1.5228787452803376,0.14782608695652175,5.83,108.08470200000001,7.26,8.0
Al,Al,1.18,elemental,1958,cubic,1.0,26.98,13.0,0.0,1.2041199826559248,3.204119982655925,-2.0,0.01,4.05,66.43012499999999,2.7,8.0
Hg,Hg,4.15,elemental,1911,rhombohedral,1.0,200.6,80.0,0.0,1.8512583487190752,2.1903316981702914,-1.3979400086720375,0.45806451612903226,2.99,26.730899000000004,13.53,6.0
H3S,H3S,203.0,hydride,2015,cubic,2.0,16.539,17.0,15.531,1.0,-0.3010299956639812,2.6532125137753435,20.0,2.95,25.672375000000002,1.2,8.0
LaH10,LaH10,250.0,hydride,2019,cubic,2.0,69.95400000000001,58.0,68.94600000000001,0.9030899869919435,-0.5228787452803376,2.8129133566428557,26.666666666666668,5.12,134.21772800000002,2.85,8.0
YH6,YH6,220.0,hydride,2021,cubic,2.0,44.958999999999996,40.0,43.951,1.0791812460476249,-0.3979400086720376,2.716003343634799,30.0,4.89,116.93016899999996,2.45,8.0
CaH6,CaH6,215.0,hydride,2020,cubic,2.0,20.544,21.0,19.536,1.041392685158225,-0.4559319556497244,2.7634279935629373,31.42857142857143,4.75,107.171875,1.85,8.0
Tc,Tc,7.8,elemental,1965,hexagonal,1.0,98.91,43.0,0.0,1.6812412373755872,1.8808135922807914,-0.8239087409443188,0.631578947368421,2.74,33.033440000000006,11.5,12.0
Re,Re,1.7,elemental,1958,hexagonal,1.0,186.2,75.0,0.0,1.6532125137753437,2.6232492903979003,-1.6989700043360187,0.10714285714285714,2.76,33.974495999999995,21.02,12.0
Ta,Ta,4.47,elemental,1952,cubic,1.0,180.9,73.0,0.0,1.7160033436347992,1.9294189257142929,-1.0969100130080565,0.611764705882353,3.31,36.264691000000006,16.65,8.0
